time	action	midinote	velocity
321.484940582	144	43	25
321.485142042	128	43	64
321.485378292	144	43	34
321.485903976	128	43	64
321.486121302	144	43	24
321.486344273	128	43	64
321.48648446	144	43	24
321.486612613	128	43	64
321.486747384	144	43	41
321.486863507	128	43	64
321.561676063	128	68	64
321.617213447	144	68	16
321.695185235	128	68	64
321.709419154	144	43	27
321.709684237	128	43	64
321.765917785	144	68	12
321.828552349	128	68	64
321.893874354	144	43	44
321.913681801	144	68	8
321.959224579	128	68	64
321.991084868	128	43	64
321.991185706	144	43	33
322.048650066	144	68	13
322.112762988	128	68	64
322.113558015	128	43	64
322.14778187	144	43	50
322.182739642	144	68	17
322.245112282	128	68	64
322.265183649	128	43	64
322.265283734	144	43	36
322.330794801	144	68	14
322.36388842	128	43	64
322.375535905	128	68	64
322.479868877	144	43	57
322.497316022	128	43	64
322.497414471	144	43	42
322.517785812	144	68	14
322.524990486	128	68	64
322.57536395	128	43	64
322.64805196	144	43	56
322.668798841	144	68	14
322.675401063	128	68	64
322.722860382	128	43	64
322.730527361	144	43	43
322.789837221	128	43	64
322.839062301	144	68	16
322.83920686	128	68	64
322.845655742	144	43	53
322.932918915	144	68	17
322.94517137	128	43	64
322.978050273	128	68	64
323.015708667	144	43	43
323.018759075	128	43	64
323.083416549	144	68	12
323.099656771	144	43	55
323.124577623	128	68	64
323.270926806	144	68	12
323.292400261	128	68	64
323.29275243	128	43	64
323.29404435	144	43	42
323.301546506	128	43	64
323.319656062	144	43	56
323.400329043	128	43	64
323.429868865	144	43	46
323.439635155	144	68	12
323.459191476	128	68	64
323.509517144	128	43	64
323.572446137	144	43	59
323.638800848	128	43	64
323.671491754	144	68	13
323.687528989	144	43	44
323.691051829	128	68	64
323.755287052	128	43	64
323.841027865	144	43	60
323.906110069	144	68	18
323.919114364	128	43	64
323.919187771	144	43	44
323.944567934	128	68	64
324.122093412	144	68	21
324.162085984	128	68	64
324.247969453	144	68	22
324.257592005	128	43	64
324.257688674	144	43	83
